Vehicle,Soc (%),K W,max power,battery capacity (kWh)
2024 Kia EV6 GT,18,223,240,77.4
2024 Kia EV6 GT,19,224,240,77.4
2024 Kia EV6 GT,21,224,240,77.4
2024 Kia EV6 GT,22,224,240,77.4
2024 Kia EV6 GT,23,224,240,77.4
2024 Kia EV6 GT,24,225,240,77.4
2024 Kia EV6 GT,26,225,240,77.4
2024 Kia EV6 GT,27,225,240,77.4
2024 Kia EV6 GT,28,226,240,77.4
2024 Kia EV6 GT,30,226,240,77.4
2024 Kia EV6 GT,31,227,240,77.4
2024 Kia EV6 GT,32,227,240,77.4
2024 Kia EV6 GT,33,227,240,77.4
2024 Kia EV6 GT,35,228,240,77.4
2024 Kia EV6 GT,36,228,240,77.4
2024 Kia EV6 GT,37,228,240,77.4
2024 Kia EV6 GT,38,228,240,77.4
2024 Kia EV6 GT,40,229,240,77.4
2024 Kia EV6 GT,42,229,240,77.4
2024 Kia EV6 GT,43,229,240,77.4
2024 Kia EV6 GT,44,229,240,77.4
2024 Kia EV6 GT,45,229,240,77.4
2024 Kia EV6 GT,47,231,240,77.4
2024 Kia EV6 GT,48,232,240,77.4
2024 Kia EV6 GT,49,232,240,77.4
2024 Kia EV6 GT,50,232,240,77.4
2024 Kia EV6 GT,52,233,240,77.4
