Vehicle,Soc (%),K W,max power,battery capacity (kWh)
2024 Kia EV6 GT,53,234,240,77.4
2024 Kia EV6 GT,54,235,240,77.4
2024 Kia EV6 GT,56,236,240,77.4
2024 Kia EV6 GT,57,236,240,77.4
2024 Kia EV6 GT,58,156,240,77.4
2024 Kia EV6 GT,60,130,240,77.4
2024 Kia EV6 GT,61,130,240,77.4
2024 Kia EV6 GT,63,130,240,77.4
2024 Kia EV6 GT,65,131,240,77.4
2024 Kia EV6 GT,66,131,240,77.4
2024 Kia EV6 GT,68,131,240,77.4
2024 Kia EV6 GT,69,131,240,77.4
2024 Kia EV6 GT,71,133,240,77.4
2024 Kia EV6 GT,73,133,240,77.4
2024 Kia EV6 GT,74,133,240,77.4
2024 Kia EV6 GT,76,134,240,77.4
2024 Kia EV6 GT,77,156,240,77.4
2024 Kia EV6 GT,79,160,240,77.4
2024 Kia EV6 GT,80,150,240,77.4
2024 Kia EV6 GT,82,120,240,77.4
2024 Kia EV6 GT,84,104,240,77.4
2024 Kia EV6 GT,86,89,240,77.4
2024 Kia EV6 GT,88,76,240,77.4
2024 Kia EV6 GT,0,106,240,77.4
2024 Kia EV6 GT,2,190,240,77.4
2024 Kia EV6 GT,6,196,240,77.4
2024 Kia EV6 GT,11,220,240,77.4
