"Scenario_02_(2,2,0): MCU1(O1:ON, O2:OFF); MCU2(O1:ON, O2:OFF); MCU3(OFF); MCU4(OFF)"
Step,Time,Event,Outputs Ops,Relays Ops,M1.O1,M1.O2,M1.R1,M1.R2,M1.R3,M1.R4,M1.EV1 Available Power,M1.EV1 Max Require Power,M1.EV1 SOC,M1.EV2 Available Power,M1.EV2 Max Require Power,M1.EV2 SOC,M2.O1,M2.O2,M2.R1,M2.R2,M2.R3,M2.R4,M2.EV1 Available Power,M2.EV1 Max Require Power,M2.EV1 SOC,M2.EV2 Available Power,M2.EV2 Max Require Power,M2.EV2 SOC,M3.O1,M3.O2,M3.R1,M3.R2,M3.R3,M3.R4,M3.EV1 Available Power,M3.EV1 Max Require Power,M3.EV1 SOC,M3.EV2 Available Power,M3.EV2 Max Require Power,M3.EV2 SOC,M4.O1,M4.O2,M4.R1,M4.R2,M4.R3,M4.R4,M4.EV1 Available Power,M4.EV1 Max Require Power,M4.EV1 SOC,M4.EV2 Available Power,M4.EV2 Max Require Power,M4.EV2 SOC
14,T14: 00:14,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,289kW,20.6%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,289kW,20.6%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
15,T15: 00:15,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,288kW,20.7%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,288kW,20.7%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
16,T16: 00:16,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,288kW,20.8%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,288kW,20.8%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
17,T17: 00:17,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,287kW,20.8%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,287kW,20.8%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
18,T18: 00:18,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,287kW,20.9%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,287kW,20.9%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
19,T19: 00:19,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,286kW,21.0%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,286kW,21.0%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
20,T20: 00:20,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,286kW,21.0%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,286kW,21.0%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
21,T21: 00:21,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,285kW,21.1%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,285kW,21.1%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
22,T22: 00:22,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,285kW,21.2%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,285kW,21.2%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
23,T23: 00:23,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,284kW,21.2%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,284kW,21.2%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
24,T24: 00:24,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,284kW,21.3%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,284kW,21.3%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
25,T25: 00:25,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,283kW,21.4%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,283kW,21.4%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
26,T26: 00:26,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,283kW,21.4%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,283kW,21.4%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
27,T27: 00:27,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,283kW,21.5%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,283kW,21.5%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
28,T28: 00:28,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,282kW,21.6%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,282kW,21.6%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
29,T29: 00:29,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,282kW,21.6%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,282kW,21.6%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
30,T30: 00:30,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,281kW,21.7%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,281kW,21.7%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
31,T31: 00:31,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,281kW,21.8%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,281kW,21.8%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
