"Scenario_14_(0,0,4): MCU1(O1:ON, O2:ON); MCU2(O1:ON, O2:ON); MCU3(O1:ON, O2:ON); MCU4(O1:ON, O2:ON)"
Step,Time,Event,Outputs Ops,Relays Ops,M1.O1,M1.O2,M1.R1,M1.R2,M1.R3,M1.R4,M1.EV1 Available Power,M1.EV1 Max Require Power,M1.EV1 SOC,M1.EV2 Available Power,M1.EV2 Max Require Power,M1.EV2 SOC,M2.O1,M2.O2,M2.R1,M2.R2,M2.R3,M2.R4,M2.EV1 Available Power,M2.EV1 Max Require Power,M2.EV1 SOC,M2.EV2 Available Power,M2.EV2 Max Require Power,M2.EV2 SOC,M3.O1,M3.O2,M3.R1,M3.R2,M3.R3,M3.R4,M3.EV1 Available Power,M3.EV1 Max Require Power,M3.EV1 SOC,M3.EV2 Available Power,M3.EV2 Max Require Power,M3.EV2 SOC,M4.O1,M4.O2,M4.R1,M4.R2,M4.R3,M4.R4,M4.EV1 Available Power,M4.EV1 Max Require Power,M4.EV1 SOC,M4.EV2 Available Power,M4.EV2 Max Require Power,M4.EV2 SOC
9,T9: 00:09,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.3%,125kW,292kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.3%,125kW,292kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.3%,125kW,292kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.3%,125kW,292kW,20.3%
10,T10: 00:10,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.3%,125kW,292kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.3%,125kW,292kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.3%,125kW,292kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.3%,125kW,292kW,20.3%
11,T11: 00:11,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.3%,125kW,291kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.3%,125kW,291kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.3%,125kW,291kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.3%,125kW,291kW,20.3%
12,T12: 00:12,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.3%,125kW,291kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.3%,125kW,291kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.3%,125kW,291kW,20.3%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.3%,125kW,291kW,20.3%
13,T13: 00:13,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%
14,T14: 00:14,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%
15,T15: 00:15,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%,ON,ON,OFF,ON,OFF,ON,125kW,291kW,20.4%,125kW,291kW,20.4%
16,T16: 00:16,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%
17,T17: 00:17,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%
18,T18: 00:18,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%
19,T19: 00:19,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%,ON,ON,OFF,ON,OFF,ON,125kW,290kW,20.5%,125kW,290kW,20.5%
20,T20: 00:20,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%
21,T21: 00:21,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%
22,T22: 00:22,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.6%,125kW,289kW,20.6%
23,T23: 00:23,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.7%,125kW,289kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.7%,125kW,289kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.7%,125kW,289kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.7%,125kW,289kW,20.7%
24,T24: 00:24,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.7%,125kW,289kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.7%,125kW,289kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.7%,125kW,289kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,289kW,20.7%,125kW,289kW,20.7%
25,T25: 00:25,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.7%,125kW,288kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.7%,125kW,288kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.7%,125kW,288kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.7%,125kW,288kW,20.7%
26,T26: 00:26,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.7%,125kW,288kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.7%,125kW,288kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.7%,125kW,288kW,20.7%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.7%,125kW,288kW,20.7%
27,T27: 00:27,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.8%,125kW,288kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.8%,125kW,288kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.8%,125kW,288kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.8%,125kW,288kW,20.8%
28,T28: 00:28,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.8%,125kW,288kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.8%,125kW,288kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.8%,125kW,288kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,288kW,20.8%,125kW,288kW,20.8%
29,T29: 00:29,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.8%,125kW,287kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.8%,125kW,287kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.8%,125kW,287kW,20.8%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.8%,125kW,287kW,20.8%
30,T30: 00:30,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%
31,T31: 00:31,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%
32,T32: 00:32,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,287kW,20.9%,125kW,287kW,20.9%
33,T33: 00:33,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,286kW,20.9%,125kW,286kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,20.9%,125kW,286kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,20.9%,125kW,286kW,20.9%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,20.9%,125kW,286kW,20.9%
34,T34: 00:34,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%
35,T35: 00:35,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%
36,T36: 00:36,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.0%,125kW,286kW,21.0%
37,T37: 00:37,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.1%,125kW,286kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.1%,125kW,286kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.1%,125kW,286kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,286kW,21.1%,125kW,286kW,21.1%
38,T38: 00:38,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%
39,T39: 00:39,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%
40,T40: 00:40,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.1%,125kW,285kW,21.1%
41,T41: 00:41,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.2%,125kW,285kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.2%,125kW,285kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.2%,125kW,285kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.2%,125kW,285kW,21.2%
42,T42: 00:42,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.2%,125kW,285kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.2%,125kW,285kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.2%,125kW,285kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,285kW,21.2%,125kW,285kW,21.2%
43,T43: 00:43,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.2%,125kW,284kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.2%,125kW,284kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.2%,125kW,284kW,21.2%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.2%,125kW,284kW,21.2%
44,T44: 00:44,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.3%,125kW,284kW,21.3%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.3%,125kW,284kW,21.3%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.3%,125kW,284kW,21.3%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.3%,125kW,284kW,21.3%
45,T45: 00:45,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.3%,125kW,284kW,21.3%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.3%,125kW,284kW,21.3%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.3%,125kW,284kW,21.3%,ON,ON,OFF,ON,OFF,ON,125kW,284kW,21.3%,125kW,284kW,21.3%
