"Scenario_14_(0,0,4): MCU1(O1:ON, O2:ON); MCU2(O1:ON, O2:ON); MCU3(O1:ON, O2:ON); MCU4(O1:ON, O2:ON)"
Step,Time,Event,Outputs Ops,Relays Ops,M1.O1,M1.O2,M1.R1,M1.R2,M1.R3,M1.R4,M1.EV1 Available Power,M1.EV1 Max Require Power,M1.EV1 SOC,M1.EV2 Available Power,M1.EV2 Max Require Power,M1.EV2 SOC,M2.O1,M2.O2,M2.R1,M2.R2,M2.R3,M2.R4,M2.EV1 Available Power,M2.EV1 Max Require Power,M2.EV1 SOC,M2.EV2 Available Power,M2.EV2 Max Require Power,M2.EV2 SOC,M3.O1,M3.O2,M3.R1,M3.R2,M3.R3,M3.R4,M3.EV1 Available Power,M3.EV1 Max Require Power,M3.EV1 SOC,M3.EV2 Available Power,M3.EV2 Max Require Power,M3.EV2 SOC,M4.O1,M4.O2,M4.R1,M4.R2,M4.R3,M4.R4,M4.EV1 Available Power,M4.EV1 Max Require Power,M4.EV1 SOC,M4.EV2 Available Power,M4.EV2 Max Require Power,M4.EV2 SOC
Init,-,System standby,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
0,T0: 00:00,M1.EV1 arrived at M1.O1; M1.EV2 arrived at M1.O2; M2.EV1 arrived at M2.O1; M2.EV2 arrived at M2.O2; M3.EV1 arrived at M3.O1; M3.EV2 arrived at M3.O2; M4.EV1 arrived at M4.O1; M4.EV2 arrived at M4.O2,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
1,T1: 00:01,M1.R2 closed,-,M1.R2 closed; M1.R4 closed; M2.R2 closed; M2.R4 closed; M3.R4 closed; M3.R2 closed; M4.R4 closed; M4.R2 closed,OFF,OFF,OFF,ON,OFF,ON,-,-,-,-,-,-,OFF,OFF,OFF,ON,OFF,ON,-,-,-,-,-,-,OFF,OFF,OFF,ON,OFF,ON,-,-,-,-,-,-,OFF,OFF,OFF,ON,OFF,ON,-,-,-,-,-,-
2,T2: 00:02,M1.O1 closed,M1.O1 closed; M1.O2 closed; M2.O1 closed; M2.O2 closed; M3.O1 closed; M3.O2 closed; M4.O1 closed; M4.O2 closed,-,ON,ON,OFF,ON,OFF,ON,125kW,294kW,20.1%,125kW,294kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,294kW,20.1%,125kW,294kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,294kW,20.1%,125kW,294kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,294kW,20.1%,125kW,294kW,20.1%
3,T3: 00:03,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%
4,T4: 00:04,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%
5,T5: 00:05,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.1%,125kW,293kW,20.1%
6,T6: 00:06,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.2%,125kW,293kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.2%,125kW,293kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.2%,125kW,293kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,293kW,20.2%,125kW,293kW,20.2%
7,T7: 00:07,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.2%,125kW,292kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.2%,125kW,292kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.2%,125kW,292kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.2%,125kW,292kW,20.2%
8,T8: 00:08,-,-,-,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.2%,125kW,292kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.2%,125kW,292kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.2%,125kW,292kW,20.2%,ON,ON,OFF,ON,OFF,ON,125kW,292kW,20.2%,125kW,292kW,20.2%
