Interactive_rand_int-fixed-5-5_soc0-rand-10-29_soc1-rand-30-90
Step,Time,Event,Outputs Ops,Relays Ops,M1.O1,M1.O2,M1.R1,M1.R2,M1.R3,M1.R4,M1.EV1 Available Power,M1.EV1 Max Require Power,M1.EV1 SOC,M1.EV2 Available Power,M1.EV2 Max Require Power,M1.EV2 SOC,M2.O1,M2.O2,M2.R1,M2.R2,M2.R3,M2.R4,M2.EV1 Available Power,M2.EV1 Max Require Power,M2.EV1 SOC,M2.EV2 Available Power,M2.EV2 Max Require Power,M2.EV2 SOC,M3.O1,M3.O2,M3.R1,M3.R2,M3.R3,M3.R4,M3.EV1 Available Power,M3.EV1 Max Require Power,M3.EV1 SOC,M3.EV2 Available Power,M3.EV2 Max Require Power,M3.EV2 SOC,M4.O1,M4.O2,M4.R1,M4.R2,M4.R3,M4.R4,M4.EV1 Available Power,M4.EV1 Max Require Power,M4.EV1 SOC,M4.EV2 Available Power,M4.EV2 Max Require Power,M4.EV2 SOC
919,T919: 15:19,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,275kW,23.0%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.3%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
920,T920: 15:20,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,273kW,23.1%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.3%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
921,T921: 15:21,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,272kW,23.1%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.3%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
922,T922: 15:22,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,271kW,23.2%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.4%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
923,T923: 15:23,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,269kW,23.3%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.4%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
924,T924: 15:24,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,268kW,23.3%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.4%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
925,T925: 15:25,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,267kW,23.4%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.5%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
926,T926: 15:26,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,266kW,23.4%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.5%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
927,T927: 15:27,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,264kW,23.5%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.5%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
928,T928: 15:28,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,263kW,23.6%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.6%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
929,T929: 15:29,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,262kW,23.6%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.6%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
930,T930: 15:30,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,261kW,23.7%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.6%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
931,T931: 15:31,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,259kW,23.7%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.7%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
932,T932: 15:32,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,258kW,23.8%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.7%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
933,T933: 15:33,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,23.9%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,48.7%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
934,T934: 15:34,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,23.9%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,48.8%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
935,T935: 15:35,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,254kW,24.0%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,48.8%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
936,T936: 15:36,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,254kW,24.0%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,48.8%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
937,T937: 15:37,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,254kW,24.1%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,48.9%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
938,T938: 15:38,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,255kW,24.2%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,48.9%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
939,T939: 15:39,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,255kW,24.2%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,48.9%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
940,T940: 15:40,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,255kW,24.3%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,49.0%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
941,T941: 15:41,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,255kW,24.3%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,49.0%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
942,T942: 15:42,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,24.4%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,49.0%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
943,T943: 15:43,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,24.4%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,49.0%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
944,T944: 15:44,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,24.5%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,49.1%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
945,T945: 15:45,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,24.6%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,146kW,49.1%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
946,T946: 15:46,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,24.6%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,49.1%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
947,T947: 15:47,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,24.7%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,49.2%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
948,T948: 15:48,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,24.7%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,49.2%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
949,T949: 15:49,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,24.8%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,49.2%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
950,T950: 15:50,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,24.9%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,49.3%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
951,T951: 15:51,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,258kW,24.9%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,49.3%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
952,T952: 15:52,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,258kW,25.0%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,145kW,49.3%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
953,T953: 15:53,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,258kW,25.0%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,144kW,49.4%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
954,T954: 15:54,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,258kW,25.1%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,144kW,49.4%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
955,T955: 15:55,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,258kW,25.1%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,144kW,49.4%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
956,T956: 15:56,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,258kW,25.2%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,144kW,49.5%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
957,T957: 15:57,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.3%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,144kW,49.5%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
958,T958: 15:58,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.3%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,144kW,49.5%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
959,T959: 15:59,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.4%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,144kW,49.6%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
960,T960: 16:00,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.4%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,144kW,49.6%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
961,T961: 16:01,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.5%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,143kW,49.6%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
962,T962: 16:02,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.6%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,143kW,49.7%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
963,T963: 16:03,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.6%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,143kW,49.7%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
964,T964: 16:04,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.7%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,143kW,49.7%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
965,T965: 16:05,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,257kW,25.7%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,143kW,49.8%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
966,T966: 16:06,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,25.8%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,143kW,49.8%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
967,T967: 16:07,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,25.8%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,143kW,49.8%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
968,T968: 16:08,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,25.9%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,143kW,49.9%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
969,T969: 16:09,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,26.0%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,142kW,49.9%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
970,T970: 16:10,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,256kW,26.0%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,142kW,49.9%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
971,T971: 16:11,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,255kW,26.1%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,142kW,50.0%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
972,T972: 16:12,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,255kW,26.1%,OFF,ON,ON,OFF,ON,ON,-,-,-,200kW,142kW,50.0%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
973,T973: 16:13,M2.R4 opened,-,M2.R4 opened; M2.R3 opened,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,254kW,26.2%,OFF,ON,ON,OFF,OFF,OFF,-,-,-,200kW,142kW,50.0%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
974,T974: 16:14,M2.O2 opened,M2.O2 opened,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,254kW,26.3%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
975,T975: 16:15,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,253kW,26.3%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
976,T976: 16:16,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,253kW,26.4%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
977,T977: 16:17,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,253kW,26.4%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
978,T978: 16:18,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,252kW,26.5%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
979,T979: 16:19,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,252kW,26.5%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
980,T980: 16:20,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,251kW,26.6%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
981,T981: 16:21,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,251kW,26.7%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
982,T982: 16:22,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,250kW,26.7%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
983,T983: 16:23,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,250kW,26.8%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
984,T984: 16:24,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,300kW,249kW,26.8%,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
985,T985: 16:25,M2.R1 opened,-,M2.R1 opened,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,249kW,26.9%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
986,T986: 16:26,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,248kW,26.9%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
987,T987: 16:27,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,248kW,27.0%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
988,T988: 16:28,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,248kW,27.1%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
989,T989: 16:29,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,247kW,27.1%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
990,T990: 16:30,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,247kW,27.2%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
991,T991: 16:31,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,247kW,27.2%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
992,T992: 16:32,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,246kW,27.3%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
993,T993: 16:33,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,246kW,27.3%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
994,T994: 16:34,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,246kW,27.4%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
995,T995: 16:35,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,245kW,27.5%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
996,T996: 16:36,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,245kW,27.5%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
997,T997: 16:37,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,245kW,27.6%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
998,T998: 16:38,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,244kW,27.6%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
999,T999: 16:39,-,-,-,OFF,ON,OFF,ON,ON,ON,-,-,-,250kW,244kW,27.7%,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
